,date,time,comp,round,day,venue,opponent,formation,gf,ga,result,gls,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,team,year
0,2022-07-30,20:30,DFL-Supercup,DFL-Supercup,Sat,Away,RB Leipzig,4-2-3-1,5.0,3.0,W,5.0,12.0,8.0,66.7,0.42,0.63,,0.0,0.0,Bayern-Munich,2022
1,2022-08-05,20:30,Bundesliga,Matchweek 1,Fri,Away,Eint Frankfurt,4-4-2,6.0,1.0,W,6.0,23.0,10.0,43.5,0.26,0.6,16.6,0.0,0.0,Bayern-Munich,2022
2,2022-08-14,17:30,Bundesliga,Matchweek 2,Sun,Home,Wolfsburg,4-2-3-1,2.0,0.0,W,2.0,24.0,8.0,33.3,0.08,0.25,18.4,0.0,0.0,Bayern-Munich,2022
3,2022-08-21,17:30,Bundesliga,Matchweek 3,Sun,Away,Bochum,4-4-2,7.0,0.0,W,6.0,21.0,11.0,52.4,0.24,0.45,18.3,1.0,1.0,Bayern-Munich,2022
4,2022-08-27,18:30,Bundesliga,Matchweek 4,Sat,Home,M'Gladbach,4-2-2-2,1.0,1.0,D,1.0,33.0,20.0,60.6,0.03,0.05,17.4,0.0,0.0,Bayern-Munich,2022
5,2022-08-31,20:46,DFB-Pokal,Round of 64,Wed,Away,Viktoria Köln,4-2-3-1,5.0,0.0,W,5.0,28.0,18.0,64.3,0.18,0.28,,0.0,0.0,Bayern-Munich,2022
6,2022-09-03,15:30,Bundesliga,Matchweek 5,Sat,Away,Union Berlin,4-2-3-1,1.0,1.0,D,1.0,21.0,6.0,28.6,0.05,0.17,18.1,0.0,0.0,Bayern-Munich,2022
7,2022-09-07,21:00,Champions Lg,Group stage,Wed,Away,it Inter,4-2-3-1,2.0,0.0,W,1.0,21.0,11.0,52.4,0.05,0.09,18.7,0.0,0.0,Bayern-Munich,2022
8,2022-09-10,15:30,Bundesliga,Matchweek 6,Sat,Home,Stuttgart,4-2-3-1,2.0,2.0,D,2.0,19.0,6.0,31.6,0.11,0.33,17.5,0.0,0.0,Bayern-Munich,2022
9,2022-09-13,21:00,Champions Lg,Group stage,Tue,Home,es Barcelona,4-2-3-1,2.0,0.0,W,2.0,13.0,4.0,30.8,0.15,0.5,17.7,0.0,0.0,Bayern-Munich,2022
10,2022-09-17,15:30,Bundesliga,Matchweek 7,Sat,Away,Augsburg,4-2-3-1,0.0,1.0,L,0.0,19.0,6.0,31.6,0.0,0.0,18.8,0.0,0.0,Bayern-Munich,2022
11,2022-09-30,20:30,Bundesliga,Matchweek 8,Fri,Home,Leverkusen,4-2-3-1,4.0,0.0,W,4.0,20.0,9.0,45.0,0.2,0.44,16.6,0.0,0.0,Bayern-Munich,2022
12,2022-10-04,18:45,Champions Lg,Group stage,Tue,Home,cz Viktoria Plzeň,4-2-3-1,5.0,0.0,W,5.0,21.0,13.0,61.9,0.24,0.38,19.7,0.0,0.0,Bayern-Munich,2022
13,2022-10-08,18:30,Bundesliga,Matchweek 9,Sat,Away,Dortmund,4-2-3-1,2.0,2.0,D,2.0,9.0,3.0,33.3,0.22,0.67,20.5,0.0,0.0,Bayern-Munich,2022
