,date,time,comp,round,day,venue,opponent,formation,gf,ga,result,gls,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,team,year
0,2022-07-31,21:00,Trophée des Champions,Trophée des Champions,Sun,Home,Nantes,3-4-3,4.0,0.0,W,4.0,15.0,8.0,53.3,0.2,0.38,,1.0,1.0,Paris-Saint-Germain,2022
1,2022-08-06,21:00,Ligue 1,Matchweek 1,Sat,Away,Clermont Foot,3-4-3,5.0,0.0,W,5.0,18.0,12.0,66.7,0.28,0.42,12.9,0.0,0.0,Paris-Saint-Germain,2022
2,2022-08-13,21:00,Ligue 1,Matchweek 2,Sat,Home,Montpellier,3-4-1-2,5.0,2.0,W,4.0,18.0,8.0,44.4,0.17,0.38,18.2,1.0,2.0,Paris-Saint-Germain,2022
3,2022-08-21,20:45,Ligue 1,Matchweek 3,Sun,Away,Lille,3-4-3,7.0,1.0,W,7.0,16.0,9.0,56.3,0.44,0.78,11.9,0.0,0.0,Paris-Saint-Germain,2022
4,2022-08-28,20:45,Ligue 1,Matchweek 4,Sun,Home,Monaco,3-4-3,1.0,1.0,D,1.0,17.0,4.0,23.5,0.0,0.0,18.7,1.0,1.0,Paris-Saint-Germain,2022
5,2022-08-31,21:00,Ligue 1,Matchweek 5,Wed,Away,Toulouse,3-4-3,3.0,0.0,W,3.0,20.0,12.0,60.0,0.15,0.25,14.8,0.0,0.0,Paris-Saint-Germain,2022
6,2022-09-03,21:00,Ligue 1,Matchweek 6,Sat,Away,Nantes,3-4-3,3.0,0.0,W,3.0,19.0,6.0,31.6,0.16,0.5,13.2,0.0,0.0,Paris-Saint-Germain,2022
7,2022-09-06,21:00,Champions Lg,Group stage,Tue,Home,it Juventus,3-4-3,2.0,1.0,W,2.0,15.0,6.0,40.0,0.13,0.33,18.8,0.0,0.0,Paris-Saint-Germain,2022
8,2022-09-10,17:00,Ligue 1,Matchweek 7,Sat,Home,Brest,3-4-1-2,1.0,0.0,W,1.0,13.0,4.0,30.8,0.08,0.25,13.7,0.0,0.0,Paris-Saint-Germain,2022
9,2022-09-14,22:00,Champions Lg,Group stage,Wed,Away,il Maccabi Haifa,3-4-3,3.0,1.0,W,3.0,16.0,6.0,37.5,0.19,0.5,16.6,0.0,0.0,Paris-Saint-Germain,2022
10,2022-09-18,20:45,Ligue 1,Matchweek 8,Sun,Away,Lyon,3-4-3,1.0,0.0,W,1.0,15.0,7.0,46.7,0.07,0.14,15.0,0.0,0.0,Paris-Saint-Germain,2022
11,2022-10-01,21:00,Ligue 1,Matchweek 9,Sat,Home,Nice,3-4-3,2.0,1.0,W,2.0,12.0,4.0,33.3,0.17,0.5,20.1,0.0,0.0,Paris-Saint-Germain,2022
12,2022-10-05,20:00,Champions Lg,Group stage,Wed,Away,pt Benfica,3-4-3,1.0,1.0,D,1.0,15.0,7.0,46.7,0.07,0.14,20.4,0.0,0.0,Paris-Saint-Germain,2022
13,2022-10-08,21:00,Ligue 1,Matchweek 10,Sat,Away,Reims,3-4-3,0.0,0.0,D,0.0,11.0,3.0,27.3,0.0,0.0,17.1,0.0,0.0,Paris-Saint-Germain,2022
14,2022-10-11,21:00,Champions Lg,Group stage,Tue,Home,pt Benfica,3-4-3,1.0,1.0,D,1.0,6.0,2.0,33.3,0.0,0.0,18.6,1.0,1.0,Paris-Saint-Germain,2022
15,2022-10-16,20:45,Ligue 1,Matchweek 11,Sun,Home,Marseille,4-3-1-2,1.0,0.0,W,1.0,23.0,8.0,34.8,0.04,0.13,16.4,0.0,0.0,Paris-Saint-Germain,2022
16,2022-10-21,21:00,Ligue 1,Matchweek 12,Fri,Away,Ajaccio,4-3-1-2,3.0,0.0,W,3.0,11.0,6.0,54.5,0.27,0.5,13.6,0.0,0.0,Paris-Saint-Germain,2022
17,2022-10-25,21:00,Champions Lg,Group stage,Tue,Home,il Maccabi Haifa,4-3-1-2,7.0,2.0,W,6.0,21.0,9.0,42.9,0.29,0.67,17.0,0.0,0.0,Paris-Saint-Germain,2022
18,2022-10-29,17:00,Ligue 1,Matchweek 13,Sat,Home,Troyes,4-3-3,4.0,3.0,W,4.0,18.0,10.0,55.6,0.17,0.3,19.8,1.0,1.0,Paris-Saint-Germain,2022
19,2022-11-02,21:00,Champions Lg,Group stage,Wed,Away,it Juventus,4-3-1-2,2.0,1.0,W,2.0,7.0,5.0,71.4,0.29,0.4,20.5,0.0,0.0,Paris-Saint-Germain,2022
20,2022-11-06,13:00,Ligue 1,Matchweek 14,Sun,Away,Lorient,3-4-1-2,2.0,1.0,W,2.0,15.0,7.0,46.7,0.13,0.29,13.6,0.0,0.0,Paris-Saint-Germain,2022
21,2022-11-13,13:00,Ligue 1,Matchweek 15,Sun,Home,Auxerre,4-3-1-2,5.0,0.0,W,5.0,9.0,6.0,66.7,0.56,0.83,13.5,0.0,0.0,Paris-Saint-Germain,2022
22,2022-12-28,21:00,Ligue 1,Matchweek 16,Wed,Home,Strasbourg,4-3-1-2,2.0,1.0,W,2.0,9.0,5.0,55.6,0.11,0.2,17.6,1.0,1.0,Paris-Saint-Germain,2022
23,2023-01-01,20:45,Ligue 1,Matchweek 17,Sun,Away,Lens,4-3-1-2,1.0,3.0,L,1.0,16.0,6.0,37.5,0.06,0.17,15.5,0.0,0.0,Paris-Saint-Germain,2022
