,date,time,comp,round,day,venue,opponent,formation,gf,ga,result,gls,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,team,year
0,2022-08-15,18:30,Serie A,Matchweek 1,Mon,Away,Hellas Verona,4-3-3,5,2,W,5.0,25.0,8.0,32.0,0.2,0.63,15.2,0.0,0.0,Napoli,2022
1,2022-08-21,18:30,Serie A,Matchweek 2,Sun,Home,Monza,4-3-3,4,0,W,4.0,22.0,5.0,22.7,0.18,0.8,15.3,0.0,0.0,Napoli,2022
2,2022-08-28,20:45,Serie A,Matchweek 3,Sun,Away,Fiorentina,4-2-3-1,0,0,D,0.0,13.0,2.0,15.4,0.0,0.0,14.7,0.0,0.0,Napoli,2022
3,2022-08-31,20:45,Serie A,Matchweek 4,Wed,Home,Lecce,4-2-3-1,1,1,D,1.0,19.0,7.0,36.8,0.05,0.14,17.7,0.0,0.0,Napoli,2022
4,2022-09-03,20:45,Serie A,Matchweek 5,Sat,Away,Lazio,4-2-3-1,2,1,W,2.0,19.0,7.0,36.8,0.11,0.29,16.1,0.0,0.0,Napoli,2022
5,2022-09-07,21:00,Champions Lg,Group stage,Wed,Home,eng Liverpool,4-2-3-1,4,1,W,4.0,16.0,6.0,37.5,0.19,0.5,17.5,1.0,2.0,Napoli,2022
6,2022-09-10,15:00,Serie A,Matchweek 6,Sat,Home,Spezia,4-3-3,1,0,W,1.0,28.0,6.0,21.4,0.04,0.17,17.8,0.0,0.0,Napoli,2022
7,2022-09-14,20:00,Champions Lg,Group stage,Wed,Away,sct Rangers,4-2-3-1,3,0,W,3.0,23.0,8.0,34.8,0.09,0.25,20.0,1.0,2.0,Napoli,2022
8,2022-09-18,20:45,Serie A,Matchweek 7,Sun,Away,Milan,4-3-3,2,1,W,2.0,8.0,3.0,37.5,0.13,0.33,20.7,1.0,1.0,Napoli,2022
9,2022-10-01,15:00,Serie A,Matchweek 8,Sat,Home,Torino,4-3-3,3,1,W,3.0,15.0,7.0,46.7,0.2,0.43,18.3,0.0,0.0,Napoli,2022
10,2022-10-04,21:00,Champions Lg,Group stage,Tue,Away,nl Ajax,4-3-3,6,1,W,6.0,26.0,13.0,50.0,0.23,0.46,15.5,0.0,0.0,Napoli,2022
11,2022-10-09,18:00,Serie A,Matchweek 9,Sun,Away,Cremonese,4-3-3,4,1,W,4.0,20.0,9.0,45.0,0.15,0.33,17.8,1.0,1.0,Napoli,2022
12,2022-10-12,18:45,Champions Lg,Group stage,Wed,Home,nl Ajax,4-3-3,4,2,W,4.0,12.0,4.0,33.3,0.25,0.75,15.4,1.0,1.0,Napoli,2022
13,2022-10-16,18:00,Serie A,Matchweek 10,Sun,Home,Bologna,4-3-3,3,2,W,3.0,31.0,11.0,35.5,0.1,0.27,14.3,0.0,0.0,Napoli,2022
14,2022-10-23,20:45,Serie A,Matchweek 11,Sun,Away,Roma,4-3-3,1,0,W,1.0,12.0,5.0,41.7,0.08,0.2,21.2,0.0,0.0,Napoli,2022
15,2022-10-26,21:00,Champions Lg,Group stage,Wed,Home,sct Rangers,4-3-3,3,0,W,3.0,14.0,6.0,42.9,0.21,0.5,12.9,0.0,0.0,Napoli,2022
16,2022-10-29,15:00,Serie A,Matchweek 12,Sat,Home,Sassuolo,4-3-3,4,0,W,4.0,18.0,6.0,33.3,0.22,0.67,16.2,0.0,0.0,Napoli,2022
17,2022-11-01,20:00,Champions Lg,Group stage,Tue,Away,eng Liverpool,4-3-3,0,2,L,0.0,10.0,2.0,20.0,0.0,0.0,19.8,0.0,0.0,Napoli,2022
18,2022-11-05,18:00,Serie A,Matchweek 13,Sat,Away,Atalanta,4-3-3,2,1,W,2.0,7.0,5.0,71.4,0.29,0.4,14.3,0.0,0.0,Napoli,2022
19,2022-11-08,18:30,Serie A,Matchweek 14,Tue,Home,Empoli,4-3-3,2,0,W,2.0,17.0,3.0,17.6,0.06,0.33,17.8,1.0,1.0,Napoli,2022
20,2022-11-12,15:00,Serie A,Matchweek 15,Sat,Home,Udinese,4-3-3,3,2,W,3.0,15.0,5.0,33.3,0.2,0.6,16.1,0.0,0.0,Napoli,2022
21,2023-01-04,20:45,Serie A,Matchweek 16,Wed,Away,Inter,4-3-3,0,1,L,0.0,9.0,2.0,22.2,0.0,0.0,13.1,0.0,0.0,Napoli,2022
22,2023-01-08,18:00,Serie A,Matchweek 17,Sun,Away,Sampdoria,4-3-3,2,0,W,2.0,22.0,6.0,27.3,0.05,0.17,18.4,1.0,2.0,Napoli,2022
